Iteration 1, loss = 2.55294493
Iteration 170, loss = 1.76837147
Iteration 171, loss = 1.76803649
Iteration 172, loss = 1.76770310
Iteration 173, loss = 1.76736973
Iteration 174, loss = 1.76703781
Iteration 175, loss = 1.76670694
Iteration 176, loss = 1.76637577
Iteration 177, loss = 1.76604795
Iteration 178, loss = 1.76571902
Iteration 179, loss = 1.76539357
Iteration 180, loss = 1.76506657
Iteration 181, loss = 1.76474289
Iteration 182, loss = 1.76441869
Iteration 183, loss = 1.76409738
Iteration 184, loss = 1.76377417
Iteration 185, loss = 1.76345503
Iteration 186, loss = 1.76313476
Iteration 187, loss = 1.76281729
Iteration 188, loss = 1.76249818
Iteration 189, loss = 1.76218259
Iteration 190, loss = 1.76186690
Iteration 191, loss = 1.76155108
Iteration 192, loss = 1.76123794
Iteration 193, loss = 1.76092494
Iteration 194, loss = 1.76061294
Iteration 195, loss = 1.76030225
Iteration 196, loss = 1.75999186
Iteration 197, loss = 1.75968212
Iteration 198, loss = 1.75937486
Iteration 199, loss = 1.75906644
Iteration 200, loss = 1.75876094
hidden_layers: (512,)
Train Accuracy: 64.98%
Train Recall: 46.61%
Train Precision: 62.36%
Train F1: 47.61%
Test Accuracy: 60.26%
Test Recall: 41.09%
Test Precision: 53.66%
Test F1: 41.49%
