Iteration 1, loss = 2.96578371
Iteration 132, loss = 1.83412381
Iteration 133, loss = 1.83329263
Iteration 134, loss = 1.83245231
Iteration 135, loss = 1.83161329
Iteration 136, loss = 1.83078136
Iteration 137, loss = 1.82995268
Iteration 138, loss = 1.82912048
Iteration 139, loss = 1.82830542
Iteration 140, loss = 1.82749257
Iteration 141, loss = 1.82667763
Iteration 142, loss = 1.82585173
Iteration 143, loss = 1.82505481
Iteration 144, loss = 1.82425116
Iteration 145, loss = 1.82344484
Iteration 146, loss = 1.82264763
Iteration 147, loss = 1.82185397
Iteration 148, loss = 1.82106223
Iteration 149, loss = 1.82027585
Iteration 150, loss = 1.81948497
Iteration 151, loss = 1.81869483
Iteration 152, loss = 1.81791937
Iteration 153, loss = 1.81714882
Iteration 154, loss = 1.81637186
Iteration 155, loss = 1.81559192
Iteration 156, loss = 1.81483319
Iteration 157, loss = 1.81406241
Iteration 158, loss = 1.81330142
Iteration 159, loss = 1.81254293
Iteration 160, loss = 1.81177928
Iteration 161, loss = 1.81103206
Iteration 162, loss = 1.81027563
Iteration 163, loss = 1.80952575
Iteration 164, loss = 1.80877832
Iteration 165, loss = 1.80803271
Iteration 166, loss = 1.80729909
Iteration 167, loss = 1.80655405
Iteration 168, loss = 1.80582237
Iteration 169, loss = 1.80508844
Iteration 170, loss = 1.80435392
Iteration 171, loss = 1.80362293
Iteration 172, loss = 1.80289800
Iteration 173, loss = 1.80217484
Iteration 174, loss = 1.80145006
Iteration 175, loss = 1.80072722
Iteration 176, loss = 1.80001419
Iteration 177, loss = 1.79930189
Iteration 178, loss = 1.79858770
Iteration 179, loss = 1.79786257
Iteration 180, loss = 1.79717209
Iteration 181, loss = 1.79645953
Iteration 182, loss = 1.79575589
Iteration 183, loss = 1.79505746
Iteration 184, loss = 1.79435746
Iteration 185, loss = 1.79366306
Iteration 186, loss = 1.79296963
Iteration 187, loss = 1.79227623
Iteration 188, loss = 1.79157834
Iteration 189, loss = 1.79089134
Iteration 190, loss = 1.79020947
Iteration 191, loss = 1.78952576
Iteration 192, loss = 1.78883821
Iteration 193, loss = 1.78816361
Iteration 194, loss = 1.78748280
Iteration 195, loss = 1.78680592
Iteration 196, loss = 1.78613359
Iteration 197, loss = 1.78546367
Iteration 198, loss = 1.78479341
Iteration 199, loss = 1.78412657
Iteration 200, loss = 1.78345875
hidden_layers: (512, 256, 128, 64)
Train Accuracy: 53.93%
Train Recall: 33.17%
Train Precision: 42.95%
Train F1: 30.79%
Test Accuracy: 50.18%
Test Recall: 30.14%
Test Precision: 31.32%
Test F1: 27.90%
